instrument_name,option_type,strike,days_to_expiry,spot_price,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,classification
ETH-5MAY26-2425-C,call,2425.0,1.5528787804629631,2330.33,3.029429,9.04280169213115,-6.013372692131149,-0.6649899994338985,0.4627,0.6389011887831876,-0.17620118878318758,cheap
ETH-8MAY26-2550-C,call,2550.0,4.552713647893518,2329.73,3.028649,8.626332378917851,-5.597683378917852,-0.6489065263237707,0.5006,0.6389011887831876,-0.13830118878318753,cheap
ETH-5MAY26-2400-C,call,2400.0,1.5528859773958332,2330.33,5.126726000000001,14.01126116478872,-8.88453516478872,-0.6340996046177612,0.4377,0.6389011887831876,-0.2012011887831876,cheap
ETH-5MAY26-2225-P,put,2225.0,1.552925143310185,2330.34,2.33034,6.331020358799719,-4.00068035879972,-0.6319171526970413,0.4889,0.6389011887831876,-0.15000118878318758,cheap
ETH-8MAY26-2500-C,call,2500.0,4.552719055520833,2329.73,5.591352,14.848402233930699,-9.257050233930698,-0.6234374640509825,0.4789,0.6389011887831876,-0.1600011887831876,cheap
ETH-5MAY26-2250-P,put,2250.0,1.552918989386574,2330.34,4.194612,10.56825025717086,-6.373638257170859,-0.6030930477678804,0.4565999999999999,0.6389011887831876,-0.18230118878318768,cheap
ETH-6MAY26-2425-C,call,2425.0,2.5528246719444443,2330.33,6.757956999999999,16.94299029151057,-10.18503329151057,-0.6011355207240996,0.4546,0.6389011887831876,-0.18430118878318758,cheap
ETH-6MAY26-2225-P,put,2225.0,2.5528673532060187,2330.33,5.359759,12.88064419015842,-7.52088519015842,-0.5838904544777989,0.4686999999999999,0.6389011887831876,-0.17020118878318768,cheap
ETH-5MAY26-2275-P,put,2275.0,1.5529116936458334,2330.34,7.224054,16.692371082039585,-9.468317082039587,-0.5672242149125938,0.4307999999999999,0.6389011887831876,-0.20810118878318767,cheap
ETH-7MAY26-2425-C,call,2425.0,3.552766788692129,2330.33,10.486484999999998,24.228202136385107,-13.741717136385109,-0.5671785739210198,0.4503,0.6389011887831876,-0.1886011887831876,cheap
ETH-8MAY26-2450-C,call,2450.0,4.552724929837963,2329.74,10.716803999999998,24.409517759869573,-13.692713759869575,-0.5609579793657807,0.4622,0.6389011887831876,-0.17670118878318758,cheap
ETH-5MAY26-2375-C,call,2375.0,1.552892235474537,2330.33,9.32132,20.89427510282553,-11.572955102825532,-0.5538816276646287,0.422,0.6389011887831876,-0.2169011887831876,cheap
ETH-6MAY26-2250-P,put,2250.0,2.552860476226852,2330.33,8.389187999999999,18.634910674019693,-10.245722674019694,-0.5498133505036873,0.451,0.6389011887831876,-0.18790118878318757,cheap
ETH-6MAY26-2400-C,call,2400.0,2.5528301143287035,2330.33,10.486484999999998,23.23568971481791,-12.74920471481791,-0.548690607909412,0.4421,0.6389011887831876,-0.1968011887831876,cheap
ETH-7MAY26-2225-P,put,2225.0,3.5528166432407406,2330.33,9.32132,19.146255943902247,-9.824935943902247,-0.5131518126932446,0.4743,0.6389011887831876,-0.16460118878318758,cheap
ETH-7MAY26-2400-C,call,2400.0,3.55277229556713,2330.33,15.380178,31.29679920128865,-15.916621201288649,-0.5085702566233444,0.4443999999999999,0.6389011887831876,-0.19450118878318767,cheap
ETH-6MAY26-2275-P,put,2275.0,2.552854740914352,2330.33,13.049848,26.0797306311523,-13.0298826311523,-0.4996172244044605,0.4382,0.6389011887831876,-0.2007011887831876,cheap
ETH-5MAY26-2300-P,put,2300.0,1.552906220277778,2330.34,12.81687,25.05467223450455,-12.237802234504551,-0.4884439165662288,0.4135999999999999,0.6389011887831876,-0.22530118878318767,cheap
ETH-6MAY26-2375-C,call,2375.0,2.5528357166782407,2330.33,16.079276999999998,31.17511531398418,-15.095838313984181,-0.4842271844689107,0.435,0.6389011887831876,-0.20390118878318758,cheap
ETH-8MAY26-2150-P,put,2150.0,4.552758571736111,2329.73,5.358379,10.272985977595283,-4.914606977595283,-0.4784010207269554,0.5323,0.6389011887831876,-0.10660118878318758,cheap
ETH-7MAY26-2250-P,put,2250.0,3.5528103496527774,2330.33,13.515914,25.843914390544,-12.328000390544,-0.47701753705911815,0.462,0.6389011887831876,-0.17690118878318756,cheap
ETH-8MAY26-2200-P,put,2200.0,4.552752662986111,2329.72,10.017796,19.070479997132452,-9.052683997132451,-0.4746961795662021,0.5015,0.6389011887831876,-0.13740118878318763,cheap
ETH-8MAY26-2400-C,call,2400.0,4.5527302657060185,2329.73,20.501624,38.3120510579912,-17.8104270579912,-0.46487793177745484,0.4529999999999999,0.6389011887831876,-0.18590118878318768,cheap
ETH-15MAY26-2500-C,call,2500.0,11.55266044710648,2330.24,24.700544,45.64305217114975,-20.942508171149747,-0.4588323342755587,0.4874,0.6389011887831876,-0.15150118878318758,cheap
ETH-5MAY26-2350-C,call,2350.0,1.552897339351852,2330.33,16.31231,30.021649346461345,-13.709339346461345,-0.45664844020561,0.4118,0.6389011887831876,-0.22710118878318758,cheap
ETH-7MAY26-2375-C,call,2375.0,3.552777940752315,2330.33,22.138135,39.822467751084105,-17.684332751084106,-0.4440792786027852,0.4432999999999999,0.6389011887831876,-0.19560118878318766,cheap
ETH-7MAY26-2275-P,put,2275.0,3.5528023066087964,2330.33,19.341739,34.064504097702525,-14.722765097702524,-0.43220253714761986,0.4518999999999999,0.6389011887831876,-0.18700118878318767,cheap
ETH-6MAY26-2300-P,put,2300.0,2.55284936087963,2330.33,20.506904,35.38971962400535,-14.882815624005353,-0.42054064802226143,0.4303,0.6389011887831876,-0.20860118878318756,cheap
ETH-8MAY26-2250-P,put,2250.0,4.552745175104167,2329.72,18.870732,32.55047789560524,-13.67974589560524,-0.4202625208600146,0.4781,0.6389011887831876,-0.16080118878318755,cheap
ETH-6MAY26-2350-C,call,2350.0,2.552841100914352,2330.33,24.468465,40.93952652816972,-16.471061528169724,-0.40232662477999825,0.4322,0.6389011887831876,-0.2067011887831876,cheap
ETH-15MAY26-2450-C,call,2450.0,11.552666509699074,2330.24,36.11872,59.757128879864695,-23.63840887986469,-0.39557470920979454,0.487,0.6389011887831876,-0.1519011887831876,cheap
ETH-7MAY26-2300-P,put,2300.0,3.552796160636574,2330.33,27.497894,43.91267382448291,-16.41477982448291,-0.3738050634332149,0.4454999999999999,0.6389011887831876,-0.19340118878318768,cheap
ETH-7MAY26-2350-C,call,2350.0,3.5527842147569446,2330.33,31.459455,49.92356903385894,-18.46411403385894,-0.36984763692147676,0.4428,0.6389011887831876,-0.19610118878318755,cheap
ETH-22MAY26-2500-C,call,2500.0,18.55260634695602,2330.74,45.216356,71.59562817546475,-26.379272175464756,-0.3684480861151899,0.5052,0.6389011887831876,-0.1337011887831876,cheap
ETH-5MAY26-2325-P,put,2325.0,1.5528999386226854,2330.34,22.837332,35.891887861513624,-13.054555861513624,-0.36371884120121317,0.4124,0.6389011887831876,-0.2265011887831876,cheap
ETH-8MAY26-2350-C,call,2350.0,4.5527357503125,2329.72,37.74146399999999,57.4583934708005,-19.71692947080051,-0.3431514227911777,0.4535,0.6389011887831876,-0.18540118878318756,cheap
ETH-15MAY26-2150-P,put,2150.0,11.55269948144676,2330.24,23.069376,35.11797899798984,-12.048602997989839,-0.3430893047313316,0.5304,0.6389011887831876,-0.1085011887831876,cheap
ETH-5MAY26-2325-C,call,2325.0,1.5529025233564815,2330.34,27.498012000000003,41.627557069976774,-14.129545069976771,-0.3394276787903916,0.4122999999999999,0.6389011887831876,-0.2266011887831877,cheap
ETH-15MAY26-2400-C,call,2400.0,11.552672255810185,2330.24,51.26527999999999,77.04384469932552,-25.77856469932553,-0.3345960316483428,0.4856,0.6389011887831876,-0.1533011887831876,cheap
ETH-29MAY26-2550-C,call,2550.0,25.5525521009838,2331.33,53.154324,79.52805584172415,-26.37373184172415,-0.3316280218670611,0.5262,0.6389011887831876,-0.11270118878318758,cheap
ETH-8MAY26-2300-P,put,2300.0,4.552738439861111,2329.72,34.479856,51.578810535378125,-17.098954535378127,-0.33151122249416515,0.4638,0.6389011887831876,-0.1751011887831876,cheap
ETH-6MAY26-2325-P,put,2325.0,2.552843868101852,2330.33,31.226422,46.671260086532584,-15.444838086532584,-0.33092824273217625,0.4303,0.6389011887831876,-0.20860118878318756,cheap
ETH-15MAY26-2100-P,put,2100.0,11.552705264155094,2330.24,16.078656,24.0147065197595,-7.936050519759501,-0.33046627129212064,0.5506,0.6389011887831876,-0.0883011887831876,neutral
ETH-22MAY26-2450-C,call,2450.0,18.55261188895833,2330.74,58.967722,87.44513391552255,-28.477411915522545,-0.32566033855049614,0.5036,0.6389011887831876,-0.13530118878318753,cheap
ETH-15MAY26-2200-P,put,2200.0,11.552693689363426,2330.24,33.55545599999999,49.48532025651889,-15.929864256518897,-0.3219109055764956,0.5158,0.6389011887831876,-0.12310118878318754,cheap
ETH-6MAY26-2325-C,call,2325.0,2.5528465930439816,2330.33,35.887082,52.65164652830276,-16.764564528302763,-0.3184053231704922,0.4303,0.6389011887831876,-0.20860118878318756,cheap
ETH-7MAY26-2325-P,put,2325.0,3.552788200150463,2330.33,38.450445,55.447461636620574,-16.99701663662057,-0.30654273676244903,0.4437,0.6389011887831876,-0.1952011887831876,cheap
ETH-7MAY26-2325-C,call,2325.0,3.552792160983796,2330.33,42.878072,61.682549485983145,-18.804477485983142,-0.3048589535076903,0.4437,0.6389011887831876,-0.1952011887831876,cheap
ETH-29MAY26-2500-C,call,2500.0,25.552558020578704,2331.33,66.209772,94.22322979862861,-28.013457798628608,-0.2973094624170518,0.5262,0.6389011887831876,-0.11270118878318758,cheap
ETH-15MAY26-2250-P,put,2250.0,11.552687698159724,2330.24,47.76992,67.4246779770483,-19.654757977048305,-0.29150688689590604,0.5021,0.6389011887831876,-0.1368011887831876,cheap
ETH-22MAY26-2400-C,call,2400.0,18.55261795954861,2330.74,76.21519799999999,105.89095797320181,-29.67575997320182,-0.2802482907059163,0.5052,0.6389011887831876,-0.1337011887831876,cheap
ETH-22MAY26-2100-P,put,2100.0,18.55265181625,2330.775,31.232385,42.56990978594706,-11.33752478594706,-0.2663271978483201,0.555,0.6389011887831876,-0.08390118878318753,neutral
ETH-15MAY26-2350-C,call,2350.0,11.552678672719908,2330.24,72.00441599999999,97.80824023129367,-25.803824231293675,-0.2638205551012231,0.4905,0.6389011887831876,-0.1484011887831876,cheap
ETH-29MAY26-2450-C,call,2450.0,25.552564158333333,2331.3,81.82863,111.00066569084686,-29.172035690846855,-0.2628095562246019,0.5265,0.6389011887831876,-0.11240118878318761,cheap
ETH-22MAY26-2150-P,put,2150.0,18.55264626931713,2330.775,41.7208725,56.53401327567053,-14.813140775670533,-0.2620217443866732,0.5421,0.6389011887831876,-0.09680118878318755,neutral
ETH-5MAY26-2350-P,put,2350.0,1.5528947739467591,2330.33,36.586181,49.29172800999254,-12.705547009992536,-0.2577622559188194,0.4118,0.6389011887831876,-0.22710118878318758,cheap
ETH-22MAY26-2200-P,put,2200.0,18.552641022719907,2330.74,54.77239,73.33604813316424,-18.56365813316424,-0.2531314218003155,0.5287,0.6389011887831876,-0.11020118878318763,cheap
ETH-6MAY26-2350-P,put,2350.0,2.552838381574074,2330.33,44.975369,59.952148624488245,-14.976779624488245,-0.24981222471767728,0.4322,0.6389011887831876,-0.2067011887831876,cheap
ETH-6MAY26-2300-C,call,2300.0,2.552852017430556,2330.33,50.10209499999999,66.36311281124404,-16.261017811244045,-0.2450309685968936,0.4303,0.6389011887831876,-0.20860118878318756,cheap
ETH-15MAY26-2300-P,put,2300.0,11.552681420011574,2330.24,67.34393599999999,89.11499794221777,-21.771061942217784,-0.24430300673220187,0.4967,0.6389011887831876,-0.1422011887831876,cheap
ETH-7MAY26-2350-P,put,2350.0,3.5527804587268523,2330.33,51.966359,68.6787532330768,-16.712394233076807,-0.24334154955258924,0.4428,0.6389011887831876,-0.19610118878318755,cheap
ETH-7MAY26-2300-C,call,2300.0,3.552799331168982,2330.33,57.093085,75.13802465157801,-18.044939651578005,-0.24015722711974483,0.4454999999999999,0.6389011887831876,-0.19340118878318768,cheap
ETH-5MAY26-2300-C,call,2300.0,1.5529088150578705,2330.34,42.41218800000001,55.7860873485381,-13.373899348538096,-0.2397353889506747,0.4135999999999999,0.6389011887831876,-0.22530118878318767,cheap
ETH-8MAY26-2350-P,put,2350.0,4.552732973715278,2329.73,58.24325,76.56086687409856,-18.31761687409856,-0.23925560958212747,0.4535,0.6389011887831876,-0.18540118878318756,cheap
ETH-29MAY26-2400-C,call,2400.0,25.552573294629628,2331.3,99.77964,130.0370267526455,-30.257386752645488,-0.23268285586228177,0.5265,0.6389011887831876,-0.11240118878318761,cheap
ETH-22MAY26-2350-C,call,2350.0,18.552625322233794,2330.74,97.89108,127.11562107253008,-29.224541072530073,-0.22990519045534957,0.5103,0.6389011887831876,-0.1286011887831876,cheap
ETH-22MAY26-2250-P,put,2250.0,18.552633937569446,2330.74,72.019866,93.08455172783295,-21.064685727832952,-0.22629625793787284,0.5227,0.6389011887831876,-0.11620118878318753,cheap
ETH-8MAY26-2300-C,call,2300.0,4.5527411131018525,2329.73,64.067575,82.45196412094379,-18.38438912094378,-0.2229709057503692,0.4638,0.6389011887831876,-0.1751011887831876,cheap
ETH-29MAY26-2150-P,put,2150.0,25.552598087314816,2331.3,59.44815,75.14595902239671,-15.697809022396711,-0.2088975804769235,0.5528,0.6389011887831876,-0.08610118878318762,neutral
ETH-22MAY26-2300-P,put,2300.0,18.55262809898148,2330.74,92.297304,115.84501628842077,-23.54771228842077,-0.20326910075953322,0.514,0.6389011887831876,-0.12490118878318757,cheap
ETH-15MAY26-2300-C,call,2300.0,11.55268426378472,2330.24,97.637056,122.26507732162327,-24.628021321623265,-0.20143136422216665,0.4967,0.6389011887831876,-0.1422011887831876,cheap
ETH-15MAY26-2350-P,put,2350.0,11.552675393449077,2330.24,91.811456,114.5948978822089,-22.78344188220889,-0.19881724494948974,0.4905,0.6389011887831876,-0.1484011887831876,cheap
ETH-29MAY26-2200-P,put,2200.0,25.55259270150463,2331.3,74.83473,93.3954082054081,-18.56067820540811,-0.19873223493586428,0.5451,0.6389011887831876,-0.09380118878318755,neutral
ETH-29MAY26-2350-C,call,2350.0,25.552578850740744,2331.3,121.69386000000002,151.45303986801878,-29.759179868018762,-0.19649113609044694,0.5297,0.6389011887831876,-0.10920118878318763,cheap
ETH-7MAY26-2375-P,put,2375.0,3.5527751545254627,2330.33,67.812603,83.56793037357443,-15.755327373574431,-0.1885331765803372,0.4432999999999999,0.6389011887831876,-0.19560118878318766,cheap
ETH-22MAY26-2300-C,call,2300.0,18.55263097572917,2330.74,123.063072,151.25655514107507,-28.193483141075063,-0.18639511599863795,0.514,0.6389011887831876,-0.12490118878318757,cheap
ETH-7MAY26-2275-C,call,2275.0,3.552805732453704,2330.33,73.871461,90.28012525989107,-16.40866425989107,-0.18175278570621323,0.4518999999999999,0.6389011887831876,-0.18700118878318767,cheap
ETH-6MAY26-2375-P,put,2375.0,2.552832925335648,2330.33,61.520712,75.18074625053873,-13.660034250538729,-0.18169591194289114,0.435,0.6389011887831876,-0.20390118878318758,cheap
ETH-29MAY26-2250-P,put,2250.0,25.552587278935185,2331.3,93.48513,114.21603130200879,-20.73090130200879,-0.18150605537319334,0.5382,0.6389011887831876,-0.10070118878318757,cheap
ETH-6MAY26-2275-C,call,2275.0,2.552857674305556,2330.33,67.812603,82.04613266373076,-14.233529663730764,-0.17348203018986202,0.4382,0.6389011887831876,-0.2007011887831876,cheap
ETH-22MAY26-2350-P,put,2350.0,18.55262147681713,2330.74,117.23622199999998,141.6025252280226,-24.36630322802263,-0.17207534391625828,0.5103,0.6389011887831876,-0.1286011887831876,cheap
ETH-29MAY26-2300-C,call,2300.0,25.552584644814814,2331.3,146.63877,175.35321278766855,-28.71444278766856,-0.16375201988707366,0.5341,0.6389011887831876,-0.10480118878318756,cheap
ETH-5MAY26-2375-P,put,2375.0,1.5528893625462965,2330.33,54.529722,65.16009990780367,-10.63037790780367,-0.16314244334868738,0.422,0.6389011887831876,-0.2169011887831876,cheap
ETH-29MAY26-2300-P,put,2300.0,25.55258160815972,2331.3,115.39935,137.62156191592612,-22.222211915926124,-0.1614733302438597,0.5341,0.6389011887831876,-0.10480118878318756,cheap
ETH-15MAY26-2400-P,put,2400.0,11.55266929508102,2330.24,121.17247999999998,143.76724346461128,-22.594763464611304,-0.157162110923919,0.4856,0.6389011887831876,-0.1533011887831876,cheap
ETH-8MAY26-2400-P,put,2400.0,4.552727581574074,2329.73,90.85947,107.38490154233477,-16.525431542334772,-0.15388971172842103,0.4529999999999999,0.6389011887831876,-0.18590118878318768,cheap
ETH-15MAY26-2250-C,call,2250.0,11.552690779027778,2330.24,127.930176,150.51149701096483,-22.581321010964828,-0.15003053892500828,0.5021,0.6389011887831876,-0.1368011887831876,cheap
ETH-5MAY26-2275-C,call,2275.0,1.5529151783217592,2330.34,61.75401,72.41953931580724,-10.665529315807241,-0.14727419445872175,0.4307999999999999,0.6389011887831876,-0.20810118878318767,cheap
ETH-22MAY26-2400-P,put,2400.0,18.552615078113423,2330.74,145.67125,170.27631257578832,-24.605062575788338,-0.14450079522856044,0.5052,0.6389011887831876,-0.1337011887831876,cheap
ETH-22MAY26-2250-C,call,2250.0,18.55263839965278,2330.74,152.66347,178.39454234183154,-25.73107234183155,-0.14423688081514754,0.5227,0.6389011887831876,-0.11620118878318753,cheap
ETH-7MAY26-2400-P,put,2400.0,3.552769509953704,2330.33,85.75614399999999,100.03253286006475,-14.276388860064756,-0.14271745852957618,0.4443999999999999,0.6389011887831876,-0.19450118878318767,cheap
ETH-29MAY26-2350-P,put,2350.0,25.552576170555557,2331.3,140.34426,163.58157313311244,-23.23731313311245,-0.14205336632998009,0.5297,0.6389011887831876,-0.10920118878318763,cheap
ETH-29MAY26-2250-C,call,2250.0,25.55258997936343,2331.3,174.61437,201.80786398838654,-27.193493988386535,-0.13474942676144394,0.5382,0.6389011887831876,-0.10070118878318757,cheap
ETH-7MAY26-2250-C,call,2250.0,3.5528138201736112,2330.33,92.980167,107.04980388981653,-14.069636889816536,-0.13143075819455058,0.462,0.6389011887831876,-0.17690118878318756,cheap
ETH-8MAY26-2250-C,call,2250.0,4.552749146805556,2329.73,98.547579,113.39984008908482,-14.85226108908482,-0.1309725047003343,0.4781,0.6389011887831876,-0.16080118878318755,cheap
ETH-6MAY26-2400-P,put,2400.0,2.552827434224537,2330.33,80.86245100000001,92.23433205606648,-11.37188105606647,-0.12329336378946015,0.4421,0.6389011887831876,-0.1968011887831876,cheap
ETH-29MAY26-2400-P,put,2400.0,25.55257022467593,2331.3,168.55299000000002,192.02574211670571,-23.472752116705692,-0.12223752845824115,0.5265,0.6389011887831876,-0.11240118878318761,cheap
ETH-22MAY26-2450-P,put,2450.0,18.55260922440972,2330.74,178.06853599999997,201.72893628309612,-23.660400283096152,-0.11728808330150689,0.5036,0.6389011887831876,-0.13530118878318753,cheap
ETH-15MAY26-2450-P,put,2450.0,11.55266363215278,2330.24,155.893056,176.41726799335265,-20.52421199335265,-0.11633901956879865,0.487,0.6389011887831876,-0.1519011887831876,cheap
ETH-6MAY26-2250-C,call,2250.0,2.552863668275463,2330.33,88.086474,99.59432015877542,-11.507846158775422,-0.1155472133393688,0.451,0.6389011887831876,-0.18790118878318757,cheap
ETH-22MAY26-2200-C,call,2200.0,18.552643585439814,2330.74,185.29383,208.54447818648714,-23.250648186487126,-0.11149011658652334,0.5287,0.6389011887831876,-0.11020118878318763,cheap
ETH-29MAY26-2200-C,call,2200.0,25.55259537431713,2331.3,206.32005,230.84742343242897,-24.52737343242896,-0.1062492839111472,0.5451,0.6389011887831876,-0.09380118878318755,neutral
ETH-15MAY26-2200-C,call,2200.0,11.552696424282408,2330.24,163.81587199999998,182.50887585912415,-18.69300385912416,-0.10242243710685615,0.5158,0.6389011887831876,-0.12310118878318754,cheap
ETH-7MAY26-2425-P,put,2425.0,3.5527640316666664,2330.33,106.030015,117.95420745891442,-11.924192458914419,-0.1010917093658387,0.4503,0.6389011887831876,-0.1886011887831876,cheap
ETH-29MAY26-2450-P,put,2450.0,25.55256083219907,2331.33,200.49438,222.8322731994558,-22.337893199455806,-0.1002453229899122,0.5265,0.6389011887831876,-0.11240118878318761,cheap
ETH-5MAY26-2400-P,put,2400.0,1.5528823308680555,2330.33,75.502692,83.27283031590878,-7.770138315908781,-0.09330940579816395,0.4377,0.6389011887831876,-0.2012011887831876,neutral
ETH-7MAY26-2225-C,call,2225.0,3.552819397766204,2330.33,113.720104,125.34240793491836,-11.62230393491835,-0.09272443482139746,0.4743,0.6389011887831876,-0.16460118878318758,neutral
ETH-22MAY26-2500-P,put,2500.0,18.552603616342594,2330.77,214.43084,235.75820908849232,-21.327369088492333,-0.09046289064949192,0.5052,0.6389011887831876,-0.1337011887831876,neutral
ETH-8MAY26-2450-P,put,2450.0,4.552721964884259,2329.73,131.163799,143.45489293915716,-12.29109393915715,-0.08567915452260044,0.4622,0.6389011887831876,-0.17670118878318758,neutral
ETH-15MAY26-2500-P,put,2500.0,11.552657228819443,2330.24,194.342016,212.2399304721721,-17.89791447217209,-0.08432868608821364,0.4874,0.6389011887831876,-0.15150118878318758,neutral
ETH-5MAY26-2250-C,call,2250.0,1.5529221498842594,2330.34,83.65920600000001,91.29115690594153,-7.6319509059415225,-0.08360011160560514,0.4565999999999999,0.6389011887831876,-0.18230118878318768,neutral
ETH-29MAY26-2150-C,call,2150.0,25.55260095887732,2331.3,240.82329,262.4581572348286,-21.63486723482862,-0.08243168154027425,0.5528,0.6389011887831876,-0.08610118878318762,neutral
ETH-29MAY26-2500-P,put,2500.0,25.55255505611111,2331.33,234.998064,255.90231365858517,-20.904249658585172,-0.08168839648114633,0.5262,0.6389011887831876,-0.11270118878318758,neutral
ETH-6MAY26-2425-P,put,2425.0,2.552822070763889,2330.33,102.068454,110.93464419731299,-8.866190197312989,-0.07992264509852497,0.4546,0.6389011887831876,-0.18430118878318758,neutral
ETH-22MAY26-2150-C,call,2150.0,18.55264907040509,2330.77,222.588535,241.67218429347008,-19.083649293470074,-0.07896502176806662,0.5421,0.6389011887831876,-0.09680118878318755,neutral
ETH-6MAY26-2225-C,call,2225.0,2.552871210763889,2330.33,109.991576,118.8330629476136,-8.841486947613603,-0.07440258399727766,0.4686999999999999,0.6389011887831876,-0.17020118878318768,neutral
ETH-8MAY26-2200-C,call,2200.0,4.552755958703703,2329.72,139.7832,149.88787358257036,-10.10467358257037,-0.06741488381315851,0.5015,0.6389011887831876,-0.13740118878318763,neutral
ETH-15MAY26-2150-C,call,2150.0,11.552702335844907,2330.24,203.429952,218.07827269300424,-14.648320693004251,-0.06717001428943434,0.5304,0.6389011887831876,-0.1085011887831876,neutral
ETH-29MAY26-2550-P,put,2550.0,25.55254906252315,2331.3,271.82958,291.0873079023638,-19.257727902363797,-0.06615790994509181,0.5262,0.6389011887831876,-0.11270118878318758,neutral
ETH-22MAY26-2100-C,call,2100.0,18.55265445693287,2330.77,262.211625,277.606275861363,-15.394650861362948,-0.05545498138900527,0.555,0.6389011887831876,-0.08390118878318753,neutral
ETH-5MAY26-2425-P,put,2425.0,1.5528755947800923,2330.33,98.339926,103.30012888563988,-4.960202885639873,-0.04801739299987852,0.4627,0.6389011887831876,-0.17620118878318758,neutral
ETH-8MAY26-2500-P,put,2500.0,4.552716333229166,2329.72,175.89386,183.87966006130569,-7.985800061305696,-0.043429491106537946,0.4789,0.6389011887831876,-0.1600011887831876,neutral
ETH-5MAY26-2225-C,call,2225.0,1.5529287763310184,2330.34,107.19564,112.04967116450871,-4.8540311645087115,-0.04332035171600045,0.4889,0.6389011887831876,-0.15000118878318758,neutral
ETH-15MAY26-2100-C,call,2100.0,11.5527081725,2330.24,246.306368,256.91173771889885,-10.605369718898856,-0.04128020701997964,0.5506,0.6389011887831876,-0.0883011887831876,neutral
ETH-8MAY26-2150-C,call,2150.0,4.552761295648148,2329.73,185.213535,191.07543376379454,-5.861898763794528,-0.030678453259674117,0.5323,0.6389011887831876,-0.10660118878318758,neutral
ETH-8MAY26-2550-P,put,2550.0,4.552710845312499,2329.73,223.421107,227.62437557482417,-4.203268574824165,-0.018465810457292064,0.5006,0.6389011887831876,-0.13830118878318753,neutral
